solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,walltime,steps_per_second,cell_updates_per_second
manual,4,4x1,16386,4098,4098,4098,100,0.585260461,170.864097,1.147349e+10
manual,4,4x1,16386,4098,4098,4098,100,0.585283825,170.857276,1.147304e+10
manual,4,4x1,16386,4098,4098,4098,100,0.580969439,172.126094,1.155824e+10
manual,4,4x1,16386,4098,4098,4098,100,0.583009693,171.523735,1.151779e+10
manual,4,4x1,16386,4098,4098,4098,100,0.583622429,171.343655,1.150570e+10
manual,4,4x1,16386,4098,4098,4098,100,0.581584000,171.944208,1.154602e+10
manual,4,4x1,16386,4098,4098,4098,100,0.580217537,172.349151,1.157322e+10
manual,4,4x1,16386,4098,4098,4098,100,0.583339290,171.426821,1.151128e+10
manual,4,4x1,16386,4098,4098,4098,100,0.583452310,171.393614,1.150905e+10
manual,4,4x1,16386,4098,4098,4098,100,0.583442708,171.396435,1.150924e+10
manual,4,2x2,16386,4098,8194,2050,100,2.160966847,46.275583,3.107397e+09
manual,4,2x2,16386,4098,8194,2050,100,0.595672129,167.877588,1.127295e+10
manual,4,2x2,16386,4098,8194,2050,100,0.593350443,168.534466,1.131706e+10
manual,4,2x2,16386,4098,8194,2050,100,0.590893691,169.235180,1.136411e+10
manual,4,2x2,16386,4098,8194,2050,100,0.596911031,167.529154,1.124955e+10
manual,4,2x2,16386,4098,8194,2050,100,0.592041507,168.907076,1.134208e+10
manual,4,2x2,16386,4098,8194,2050,100,0.595477235,167.932532,1.127664e+10
manual,4,2x2,16386,4098,8194,2050,100,0.593926685,168.370950,1.130608e+10
manual,4,2x2,16386,4098,8194,2050,100,0.594083222,168.326585,1.130310e+10
manual,4,2x2,16386,4098,8194,2050,100,0.593035174,168.624062,1.132308e+10
manual,4,1x4,16386,4098,16386,1026,100,0.584388358,171.119083,1.149062e+10
manual,4,1x4,16386,4098,16386,1026,100,0.580682366,172.211188,1.156395e+10
manual,4,1x4,16386,4098,16386,1026,100,2.147068543,46.575132,3.127512e+09
manual,4,1x4,16386,4098,16386,1026,100,2.079305811,48.092974,3.229435e+09
manual,4,1x4,16386,4098,16386,1026,100,0.582157956,171.774686,1.153464e+10
manual,4,1x4,16386,4098,16386,1026,100,0.583586397,171.354234,1.150641e+10
manual,4,1x4,16386,4098,16386,1026,100,0.583040545,171.514659,1.151718e+10
manual,4,1x4,16386,4098,16386,1026,100,0.580601135,172.235282,1.156557e+10
manual,4,1x4,16386,4098,16386,1026,100,0.583640108,171.338465,1.150535e+10
manual,4,1x4,16386,4098,16386,1026,100,2.131104365,46.924028,3.150940e+09
