solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,iteration,halo_walltime_seconds
manual_halo,16,16x1,32770,8194,2050,8194,1,0.000402004
manual_halo,16,16x1,32770,8194,2050,8194,2,0.000403570
manual_halo,16,16x1,32770,8194,2050,8194,3,0.000404210
manual_halo,16,16x1,32770,8194,2050,8194,4,0.000377043
manual_halo,16,16x1,32770,8194,2050,8194,5,0.000388501
manual_halo,16,16x1,32770,8194,2050,8194,6,0.000424561
manual_halo,16,16x1,32770,8194,2050,8194,7,0.000387699
manual_halo,16,16x1,32770,8194,2050,8194,8,0.000410482
manual_halo,16,16x1,32770,8194,2050,8194,9,0.000391348
manual_halo,16,16x1,32770,8194,2050,8194,10,0.000383828
manual_halo,16,16x1,32770,8194,2050,8194,11,0.000392052
manual_halo,16,16x1,32770,8194,2050,8194,12,0.000399027
manual_halo,16,16x1,32770,8194,2050,8194,13,0.000376851
manual_halo,16,16x1,32770,8194,2050,8194,14,0.000390868
manual_halo,16,16x1,32770,8194,2050,8194,15,0.000404403
manual_halo,16,16x1,32770,8194,2050,8194,16,0.000427473
manual_halo,16,16x1,32770,8194,2050,8194,17,0.000373332
manual_halo,16,16x1,32770,8194,2050,8194,18,0.000397235
manual_halo,16,16x1,32770,8194,2050,8194,19,0.000388660
manual_halo,16,16x1,32770,8194,2050,8194,20,0.000392051
manual_halo,16,16x1,32770,8194,2050,8194,21,0.000388020
manual_halo,16,16x1,32770,8194,2050,8194,22,0.000395956
manual_halo,16,16x1,32770,8194,2050,8194,23,0.000379252
manual_halo,16,16x1,32770,8194,2050,8194,24,0.000382931
manual_halo,16,16x1,32770,8194,2050,8194,25,0.000380723
manual_halo,16,16x1,32770,8194,2050,8194,26,0.000388820
manual_halo,16,16x1,32770,8194,2050,8194,27,0.000396083
manual_halo,16,16x1,32770,8194,2050,8194,28,0.000384084
manual_halo,16,16x1,32770,8194,2050,8194,29,0.000390739
manual_halo,16,16x1,32770,8194,2050,8194,30,0.000396883
manual_halo,16,16x1,32770,8194,2050,8194,31,0.000400818
