solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,iteration,halo_walltime_seconds
manual_halo,4,4x1,16386,4098,4098,4098,1,0.000385429
manual_halo,4,4x1,16386,4098,4098,4098,2,0.000387380
manual_halo,4,4x1,16386,4098,4098,4098,3,0.000381237
manual_halo,4,4x1,16386,4098,4098,4098,4,0.000372149
manual_halo,4,4x1,16386,4098,4098,4098,5,0.000379636
manual_halo,4,4x1,16386,4098,4098,4098,6,0.000377588
manual_halo,4,4x1,16386,4098,4098,4098,7,0.000379893
manual_halo,4,4x1,16386,4098,4098,4098,8,0.000390004
manual_halo,4,4x1,16386,4098,4098,4098,9,0.000376980
manual_halo,4,4x1,16386,4098,4098,4098,10,0.000377397
manual_halo,4,4x1,16386,4098,4098,4098,11,0.000382644
manual_halo,4,4x1,16386,4098,4098,4098,12,0.000376949
manual_halo,4,4x1,16386,4098,4098,4098,13,0.000377204
manual_halo,4,4x1,16386,4098,4098,4098,14,0.000376437
manual_halo,4,4x1,16386,4098,4098,4098,15,0.000371221
manual_halo,4,4x1,16386,4098,4098,4098,16,0.000375188
manual_halo,4,4x1,16386,4098,4098,4098,17,0.000354933
manual_halo,4,4x1,16386,4098,4098,4098,18,0.000374004
manual_halo,4,4x1,16386,4098,4098,4098,19,0.000409652
manual_halo,4,4x1,16386,4098,4098,4098,20,0.000376500
manual_halo,4,4x1,16386,4098,4098,4098,21,0.000378837
manual_halo,4,4x1,16386,4098,4098,4098,22,0.000407284
manual_halo,4,4x1,16386,4098,4098,4098,23,0.000360469
manual_halo,4,4x1,16386,4098,4098,4098,24,0.000366773
manual_halo,4,4x1,16386,4098,4098,4098,25,0.000386580
manual_halo,4,4x1,16386,4098,4098,4098,26,0.000381237
manual_halo,4,4x1,16386,4098,4098,4098,27,0.000366132
manual_halo,4,4x1,16386,4098,4098,4098,28,0.000361109
manual_halo,4,4x1,16386,4098,4098,4098,29,0.000366197
manual_halo,4,4x1,16386,4098,4098,4098,30,0.000371093
manual_halo,4,4x1,16386,4098,4098,4098,31,0.000366676
manual_halo,4,4x1,16386,4098,4098,4098,32,0.000377236
manual_halo,4,4x1,16386,4098,4098,4098,33,0.000404595
manual_halo,4,4x1,16386,4098,4098,4098,34,0.000373812
manual_halo,4,4x1,16386,4098,4098,4098,35,0.000365493
manual_halo,4,4x1,16386,4098,4098,4098,36,0.000366901
manual_halo,4,4x1,16386,4098,4098,4098,37,0.000374229
manual_halo,4,4x1,16386,4098,4098,4098,38,0.000370997
manual_halo,4,4x1,16386,4098,4098,4098,39,0.000376980
manual_halo,4,4x1,16386,4098,4098,4098,40,0.000378324
manual_halo,4,4x1,16386,4098,4098,4098,41,0.000371221
manual_halo,4,4x1,16386,4098,4098,4098,42,0.000358198
manual_halo,4,4x1,16386,4098,4098,4098,43,0.000383476
manual_halo,4,4x1,16386,4098,4098,4098,44,0.000383829
manual_halo,4,4x1,16386,4098,4098,4098,45,0.000363669
manual_halo,4,4x1,16386,4098,4098,4098,46,0.000370421
manual_halo,4,4x1,16386,4098,4098,4098,47,0.000361781
manual_halo,4,4x1,16386,4098,4098,4098,48,0.000370740
manual_halo,4,4x1,16386,4098,4098,4098,49,0.000363765
manual_halo,4,4x1,16386,4098,4098,4098,50,0.000372053
manual_halo,4,4x1,16386,4098,4098,4098,51,0.000365365
manual_halo,4,4x1,16386,4098,4098,4098,52,0.000369044
manual_halo,4,4x1,16386,4098,4098,4098,53,0.000372405
manual_halo,4,4x1,16386,4098,4098,4098,54,0.000378293
manual_halo,4,4x1,16386,4098,4098,4098,55,0.000365205
manual_halo,4,4x1,16386,4098,4098,4098,56,0.000372693
manual_halo,4,4x1,16386,4098,4098,4098,57,0.000366740
manual_halo,4,4x1,16386,4098,4098,4098,58,0.000358165
manual_halo,4,4x1,16386,4098,4098,4098,59,0.000377428
manual_halo,4,4x1,16386,4098,4098,4098,60,0.000383349
manual_halo,4,4x1,16386,4098,4098,4098,61,0.000354518
manual_halo,4,4x1,16386,4098,4098,4098,62,0.000365685
manual_halo,4,4x1,16386,4098,4098,4098,63,0.000363765
manual_halo,4,4x1,16386,4098,4098,4098,64,0.000370132
manual_halo,4,4x1,16386,4098,4098,4098,65,0.000372756
manual_halo,4,4x1,16386,4098,4098,4098,66,0.000383476
manual_halo,4,4x1,16386,4098,4098,4098,67,0.000366261
manual_halo,4,4x1,16386,4098,4098,4098,68,0.000365557
manual_halo,4,4x1,16386,4098,4098,4098,69,0.000373269
manual_halo,4,4x1,16386,4098,4098,4098,70,0.000371028
manual_halo,4,4x1,16386,4098,4098,4098,71,0.000363797
manual_halo,4,4x1,16386,4098,4098,4098,72,0.000367605
manual_halo,4,4x1,16386,4098,4098,4098,73,0.000368597
manual_halo,4,4x1,16386,4098,4098,4098,74,0.000369685
manual_halo,4,4x1,16386,4098,4098,4098,75,0.000371957
manual_halo,4,4x1,16386,4098,4098,4098,76,0.000368500
manual_halo,4,4x1,16386,4098,4098,4098,77,0.000372245
manual_halo,4,4x1,16386,4098,4098,4098,78,0.000370836
manual_halo,4,4x1,16386,4098,4098,4098,79,0.000375381
manual_halo,4,4x1,16386,4098,4098,4098,80,0.000364181
manual_halo,4,4x1,16386,4098,4098,4098,81,0.000359189
manual_halo,4,4x1,16386,4098,4098,4098,82,0.000368564
manual_halo,4,4x1,16386,4098,4098,4098,83,0.000370644
manual_halo,4,4x1,16386,4098,4098,4098,84,0.000360373
manual_halo,4,4x1,16386,4098,4098,4098,85,0.000373301
manual_halo,4,4x1,16386,4098,4098,4098,86,0.000360309
manual_halo,4,4x1,16386,4098,4098,4098,87,0.000357013
manual_halo,4,4x1,16386,4098,4098,4098,88,0.000365717
manual_halo,4,4x1,16386,4098,4098,4098,89,0.000380308
manual_halo,4,4x1,16386,4098,4098,4098,90,0.000366709
manual_halo,4,4x1,16386,4098,4098,4098,91,0.000363477
manual_halo,4,4x1,16386,4098,4098,4098,92,0.000362261
manual_halo,4,4x1,16386,4098,4098,4098,93,0.000354902
manual_halo,4,4x1,16386,4098,4098,4098,94,0.000388692
manual_halo,4,4x1,16386,4098,4098,4098,95,0.000367508
manual_halo,4,4x1,16386,4098,4098,4098,96,0.000369268
manual_halo,4,4x1,16386,4098,4098,4098,97,0.000364149
manual_halo,4,4x1,16386,4098,4098,4098,98,0.000366997
manual_halo,4,4x1,16386,4098,4098,4098,99,0.000368660
manual_halo,4,4x1,16386,4098,4098,4098,100,0.000380532
manual_halo,4,4x1,16386,4098,4098,4098,101,0.000363285
manual_halo,4,4x1,16386,4098,4098,4098,102,0.000368917
manual_halo,4,4x1,16386,4098,4098,4098,103,0.000366421
manual_halo,4,4x1,16386,4098,4098,4098,104,0.000367189
manual_halo,4,4x1,16386,4098,4098,4098,105,0.000363189
manual_halo,4,4x1,16386,4098,4098,4098,106,0.000368277
manual_halo,4,4x1,16386,4098,4098,4098,107,0.000362676
manual_halo,4,4x1,16386,4098,4098,4098,108,0.000360757
manual_halo,4,4x1,16386,4098,4098,4098,109,0.000371445
manual_halo,4,4x1,16386,4098,4098,4098,110,0.000363573
manual_halo,4,4x1,16386,4098,4098,4098,111,0.000377781
manual_halo,4,4x1,16386,4098,4098,4098,112,0.000357653
manual_halo,4,4x1,16386,4098,4098,4098,113,0.000375604
manual_halo,4,4x1,16386,4098,4098,4098,114,0.000365301
